날짜,호선,역명,구분,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
2024-01-20,8호선,잠실(송파구청),승차,96,126,236,263,319,543,594,826,1173,1429,1722,1753,1733,1587,1419,1348,1032,376
2024-01-20,8호선,잠실(송파구청),하차,292,438,648,978,1344,1626,1770,1921,1818,1635,1818,1545,1055,697,424,304,229,203
2024-01-21,2호선,잠실(송파구청),승차,499,627,1116,1731,1888,2361,2812,3443,3575,4473,5169,5012,4897,4504,5479,4418,2222,616
2024-01-21,2호선,잠실(송파구청),하차,606,948,1957,3304,3380,4285,4265,4363,3942,4344,4018,3965,3349,2472,2241,2036,1456,826
2024-01-21,8호선,잠실(송파구청),승차,65,63,124,156,226,342,471,685,858,1200,1397,1307,1381,1051,1084,1022,648,170
2024-01-21,8호선,잠실(송파구청),하차,145,291,481,767,1014,1299,1371,1524,1299,1309,1192,956,719,388,284,210,126,78
2024-01-22,2호선,잠실(송파구청),승차,2043,4855,7278,5007,2847,2500,2561,2870,3073,3652,4257,5874,8482,5416,5223,4122,2133,674
2024-01-22,2호선,잠실(송파구청),하차,1268,3289,6858,6045,4089,3566,3318,3253,3139,3599,3710,5808,8984,6055,3406,3064,2337,1160
2024-01-22,8호선,잠실(송파구청),승차,176,359,565,380,348,425,510,603,766,1117,1234,1848,2959,1522,1391,1310,695,222
2024-01-22,8호선,잠실(송파구청),하차,478,1401,3740,1807,1107,1041,1013,912,814,870,913,1182,1644,768,425,289,206,106
2024-01-23,2호선,잠실(송파구청),승차,2075,5178,7164,5048,2613,2421,2617,2869,3459,3683,4093,6025,8614,5413,4915,3734,3076,758
2024-01-23,2호선,잠실(송파구청),하차,1264,3284,7474,6064,4035,3543,2915,3128,2986,3482,3933,5816,9224,5618,3590,2989,2637,1190
2024-01-23,8호선,잠실(송파구청),승차,174,412,549,375,323,427,468,569,788,1119,1293,1821,2957,1506,1291,1168,929,246
2024-01-23,8호선,잠실(송파구청),하차,422,1376,3859,2058,1086,1066,922,921,814,807,850,1221,1559,729,420,288,251,102
2024-01-24,2호선,잠실(송파구청),승차,2033,4991,7201,5097,2593,2641,2719,2931,3159,3725,4364,6598,8704,5578,5022,4264,3116,905
2024-01-24,2호선,잠실(송파구청),하차,1181,3115,7572,5976,3754,3805,3324,3340,3317,3639,3972,6016,9674,5763,3429,3167,2783,1448
2024-01-24,8호선,잠실(송파구청),승차,150,398,534,398,342,435,547,679,780,1126,1222,1866,3040,1540,1351,1375,894,275
2024-01-24,8호선,잠실(송파구청),하차,406,1341,3921,1886,1116,1072,1027,938,857,929,908,1237,1703,782,436,328,250,127
2024-01-25,2호선,잠실(송파구청),승차,2131,5166,7089,4987,2961,2719,2941,3113,3216,3856,4666,6527,9089,5897,5582,4466,3764,1128
2024-01-25,2호선,잠실(송파구청),하차,1195,3309,7382,6539,4484,3518,3345,3331,3404,3867,4695,6305,9660,6009,3479,3248,2902,1898
2024-01-25,8호선,잠실(송파구청),승차,167,377,518,387,357,480,585,638,868,1112,1385,1904,2921,1523,1358,1338,1029,331
2024-01-25,8호선,잠실(송파구청),하차,402,1431,3762,2017,1164,1138,974,969,913,944,982,1392,1879,828,468,358,211,170
2024-01-26,2호선,잠실(송파구청),승차,2088,4994,7018,4655,2899,3018,3154,3515,3814,4639,5711,7094,9039,5606,5253,4687,4630,1414
2024-01-26,2호선,잠실(송파구청),하차,1141,3109,6784,6224,4216,3759,3959,3761,3814,4276,5150,7441,10429,6279,3497,3286,3231,2149
2024-01-26,8호선,잠실(송파구청),승차,177,372,512,381,348,520,625,679,1009,1338,1538,1852,2781,1487,1219,1277,1306,413
2024-01-26,8호선,잠실(송파구청),하차,402,1284,3486,1954,1148,1186,1170,1106,959,981,1193,1534,2286,1063,500,351,268,178
2024-01-27,2호선,잠실(송파구청),승차,828,929,1924,2398,2868,3327,3955,4319,5058,5769,6689,6924,6454,5829,6450,6464,4236,1161
2024-01-27,2호선,잠실(송파구청),하차,1020,1394,2142,3819,4450,5474,5628,5729,5982,6302,6102,6473,5314,3605,2851,2896,2462,1792
2024-01-27,8호선,잠실(송파구청),승차,96,101,212,313,308,457,664,740,989,1446,1641,1628,1708,1335,1628,1481,1044,357
2024-01-27,8호선,잠실(송파구청),하차,280,441,657,926,1246,1638,1586,1761,1728,1671,1751,1542,1198,648,442,351,245,185
2024-01-28,2호선,잠실(송파구청),승차,487,645,1099,1613,1947,2400,2813,3390,3909,4475,4921,4991,4679,5011,5540,4464,2283,631
2024-01-28,2호선,잠실(송파구청),하차,702,845,1788,3388,3484,3666,4504,4417,4330,4090,3941,3687,3448,2625,2344,2027,1515,861
2024-01-28,8호선,잠실(송파구청),승차,70,73,122,188,233,352,483,585,742,1013,1222,1292,1257,1102,1097,1047,653,144
2024-01-28,8호선,잠실(송파구청),하차,147,233,511,719,952,1175,1247,1300,1310,1110,1155,1003,731,468,332,231,148,78
2024-01-29,2호선,잠실(송파구청),승차,2138,5111,7200,4903,2923,2554,2698,3068,3286,3822,4446,6278,8563,6449,5502,4508,2596,842
2024-01-29,2호선,잠실(송파구청),하차,1242,3297,7507,6308,4300,3686,3418,3372,3229,3556,4243,6699,9351,6030,3559,2924,2651,1254
2024-01-29,8호선,잠실(송파구청),승차,204,374,514,383,367,530,550,670,824,1151,1298,1832,2926,1564,1325,1148,786,252
2024-01-29,8호선,잠실(송파구청),하차,457,1411,3819,1921,1130,975,1059,945,924,899,950,1230,1587,791,428,287,226,124
2024-01-30,2호선,잠실(송파구청),승차,2101,5251,7560,4976,2936,2752,2942,3274,3451,3698,4731,6323,8689,5931,5705,4506,3258,1074
2024-01-30,2호선,잠실(송파구청),하차,1260,3516,7768,6734,4514,3760,3343,3211,3307,3473,4343,6331,9416,6302,3454,3447,3110,1401
2024-01-30,8호선,잠실(송파구청),승차,176,424,569,393,337,479,551,620,855,1151,1385,1878,2865,1500,1392,1287,893,296
2024-01-30,8호선,잠실(송파구청),하차,476,1444,3822,1919,1164,1138,1096,1045,870,884,844,1225,1630,834,406,309,264,131
2024-01-31,2호선,잠실(송파구청),승차,2188,5281,7268,5136,2994,2762,2944,3166,3522,3829,4868,6718,8775,5963,5610,4577,3602,1199
2024-01-31,2호선,잠실(송파구청),하차,1286,3269,7812,6364,4209,3929,3496,3675,3608,3625,4423,6574,9902,6165,3631,3555,2916,1492
2024-01-31,8호선,잠실(송파구청),승차,166,409,512,434,351,507,557,640,932,1154,1301,1864,2898,1553,1337,1304,1127,352
2024-01-31,8호선,잠실(송파구청),하차,428,1363,3806,2127,1223,1017,1029,1021,923,885,1059,1312,1878,881,450,303,244,136
2024-02-01,2호선,잠실(송파구청),승차,2153,5447,7356,5107,3048,2734,2953,3123,3324,3963,4450,6268,8873,5635,5759,4691,3403,1153
2024-02-01,2호선,잠실(송파구청),하차,1215,3375,7840,6628,4254,3601,3338,3193,3497,3788,4235,6409,9269,6250,3786,3400,3185,1641
2024-02-01,8호선,잠실(송파구청),승차,180,429,551,382,420,475,507,655,846,1143,1332,1788,2935,1557,1342,1270,944,328
2024-02-01,8호선,잠실(송파구청),하차,429,1494,3853,1983,1150,1099,973,936,899,904,985,1295,1771,754,451,315,255,156
2024-02-02,2호선,잠실(송파구청),승차,2092,5310,7229,4665,2982,2787,3155,3358,3553,4050,5109,6997,9203,5649,5226,4636,3752,1451
2024-02-02,2호선,잠실(송파구청),하차,1227,3209,6991,5786,3924,3724,3571,3486,3807,4188,5055,6817,10049,6135,3686,3189,3116,1982
2024-02-02,8호선,잠실(송파구청),승차,160,402,550,392,385,525,579,714,824,1187,1374,1892,2892,1565,1317,1226,1139,505
2024-02-02,8호선,잠실(송파구청),하차,403,1390,3540,1980,1183,1090,1058,984,1002,993,1092,1520,2094,1061,539,340,282,181
