date,weather_code,precipitation_sum,snowfall_sum,weather_category,weather_label,weather_label_ko
2024-07-26,63,13.8,0.0,precipitation,Precipitation,비/눈
2024-07-27,65,39.2,0.0,precipitation,Precipitation,비/눈
2024-07-28,51,0.4,0.0,precipitation,Precipitation,비/눈
2024-07-29,51,1.3,0.0,precipitation,Precipitation,비/눈
2024-07-30,51,1.0,0.0,precipitation,Precipitation,비/눈
2024-07-31,51,0.8,0.0,precipitation,Precipitation,비/눈
2024-08-01,51,1.2,0.0,precipitation,Precipitation,비/눈
2024-08-02,63,12.4,0.0,precipitation,Precipitation,비/눈
2024-08-03,53,2.1,0.0,precipitation,Precipitation,비/눈
2024-08-04,51,0.1,0.0,precipitation,Precipitation,비/눈
2024-08-05,63,12.8,0.0,precipitation,Precipitation,비/눈
2024-08-06,53,1.9,0.0,precipitation,Precipitation,비/눈
2024-08-07,61,2.4,0.0,precipitation,Precipitation,비/눈
2024-08-08,65,12.0,0.0,precipitation,Precipitation,비/눈
2024-08-09,3,0.0,0.0,cloudy,Cloudy,흐림
2024-08-10,51,0.1,0.0,precipitation,Precipitation,비/눈
2024-08-11,51,0.5,0.0,precipitation,Precipitation,비/눈
2024-08-12,51,0.3,0.0,precipitation,Precipitation,비/눈
2024-08-13,53,1.4,0.0,precipitation,Precipitation,비/눈
2024-08-14,63,4.0,0.0,precipitation,Precipitation,비/눈
2024-08-15,63,6.3,0.0,precipitation,Precipitation,비/눈
2024-08-16,51,0.5,0.0,precipitation,Precipitation,비/눈
2024-08-17,53,2.1,0.0,precipitation,Precipitation,비/눈
2024-08-18,65,25.8,0.0,precipitation,Precipitation,비/눈
2024-08-19,63,5.1,0.0,precipitation,Precipitation,비/눈
2024-08-20,65,16.5,0.0,precipitation,Precipitation,비/눈
2024-08-21,65,72.9,0.0,precipitation,Precipitation,비/눈
2024-08-22,55,4.3,0.0,precipitation,Precipitation,비/눈
2024-08-23,53,2.9,0.0,precipitation,Precipitation,비/눈
2024-08-24,53,1.4,0.0,precipitation,Precipitation,비/눈
2024-08-25,53,1.1,0.0,precipitation,Precipitation,비/눈
2024-08-26,51,0.7,0.0,precipitation,Precipitation,비/눈
2024-08-27,61,2.7,0.0,precipitation,Precipitation,비/눈
2024-08-28,0,0.0,0.0,clear,Clear,맑음
2024-08-29,0,0.0,0.0,clear,Clear,맑음
2024-08-30,1,0.0,0.0,clear,Clear,맑음
2024-08-31,3,0.0,0.0,cloudy,Cloudy,흐림
2024-09-01,3,0.0,0.0,cloudy,Cloudy,흐림
2024-09-02,65,24.7,0.0,precipitation,Precipitation,비/눈
2024-09-03,3,0.0,0.0,cloudy,Cloudy,흐림
2024-09-04,3,0.0,0.0,cloudy,Cloudy,흐림
2024-09-05,53,2.1,0.0,precipitation,Precipitation,비/눈
2024-09-06,53,1.4,0.0,precipitation,Precipitation,비/눈
2024-09-07,53,1.1,0.0,precipitation,Precipitation,비/눈
2024-09-08,3,0.0,0.0,cloudy,Cloudy,흐림
2024-09-09,51,0.1,0.0,precipitation,Precipitation,비/눈
2024-09-10,51,0.2,0.0,precipitation,Precipitation,비/눈
2024-09-11,63,4.4,0.0,precipitation,Precipitation,비/눈
2024-09-12,61,19.5,0.0,precipitation,Precipitation,비/눈
2024-09-13,63,18.5,0.0,precipitation,Precipitation,비/눈
2024-09-14,55,2.2,0.0,precipitation,Precipitation,비/눈
2024-09-15,51,0.8,0.0,precipitation,Precipitation,비/눈
2024-09-16,53,0.9,0.0,precipitation,Precipitation,비/눈
2024-09-17,63,4.6,0.0,precipitation,Precipitation,비/눈
2024-09-18,51,0.9,0.0,precipitation,Precipitation,비/눈
2024-09-19,53,1.3,0.0,precipitation,Precipitation,비/눈
2024-09-20,65,64.8,0.0,precipitation,Precipitation,비/눈
