일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,요일(2)
20230107,토,마포대교,C-07,유입,마포대교남단->마포대교북단,1004.0,677.0,470.0,460.0,446.0,981.0,1824.0,2024.0,2238.0,2503.0,2800.0,3305.0,3296.0,3250.0,3096.0,3117.0,3202.0,2990.0,3038.0,2446.0,2582.0,2127.0,1880.0,1183.0,
20230107,토,마포대교,C-07,유출,마포대교북단->마포대교남단,698.0,403.0,366.0,314.0,393.0,557.0,918.0,1194.0,1498.0,2008.0,2587.0,2755.0,2733.0,2963.0,3027.0,3013.0,3181.0,3162.0,2853.0,2432.0,2122.0,1882.0,1515.0,923.0,
20230107,토,원효대교,C-08,유입,원효대교남단->원효대교북단,365.0,265.0,245.0,167.0,210.0,381.0,498.0,679.0,942.0,1126.0,1467.0,1614.0,1586.0,1635.0,1620.0,1633.0,1487.0,1164.0,933.0,788.0,811.0,776.0,674.0,478.0,
20230107,토,원효대교,C-08,유출,원효대교북단->원효대교남단,285.0,201.0,168.0,156.0,139.0,191.0,345.0,423.0,623.0,728.0,932.0,1011.0,1111.0,1132.0,1250.0,1252.0,1251.0,1323.0,968.0,906.0,787.0,748.0,719.0,551.0,
20230107,토,한강대교,C-09,유입,한강대교남단->한강대교북단,900.0,742.0,647.0,550.0,488.0,973.0,1459.0,1560.0,1936.0,2466.0,2779.0,2593.0,2552.0,2379.0,2448.0,2355.0,2212.0,2309.0,1875.0,1574.0,1681.0,1657.0,1526.0,1255.0,
20230107,토,한강대교,C-09,유출,한강대교북단->한강대교남단,1343.0,1102.0,906.0,726.0,624.0,808.0,1258.0,1525.0,1610.0,1668.0,1839.0,1919.0,1988.0,2155.0,2155.0,2324.0,2588.0,2596.0,2591.0,2470.0,2381.0,2358.0,2221.0,1570.0,
20230108,일,서강대교,C-06,유입,서강대교남단->서강대교북단,179.0,172.0,150.0,115.0,98.0,110.0,204.0,275.0,478.0,672.0,935.0,973.0,1010.0,1008.0,1031.0,939.0,934.0,831.0,663.0,510.0,482.0,389.0,301.0,246.0,
20230108,일,서강대교,C-06,유출,서강대교북단->서강대교남단,335.0,227.0,183.0,178.0,158.0,245.0,376.0,473.0,616.0,679.0,1034.0,929.0,1175.0,1187.0,1302.0,1370.0,1163.0,1002.0,822.0,671.0,619.0,566.0,429.0,271.0,
20230108,일,마포대교,C-07,유입,마포대교남단->마포대교북단,880.0,710.0,534.0,421.0,373.0,511.0,894.0,1103.0,1546.0,2060.0,2728.0,2687.0,2859.0,2777.0,2860.0,2713.0,2737.0,2743.0,2563.0,2335.0,2273.0,1603.0,1352.0,802.0,
20230108,일,마포대교,C-07,유출,마포대교북단->마포대교남단,691.0,423.0,352.0,234.0,238.0,406.0,690.0,819.0,1085.0,1395.0,2256.0,2495.0,2810.0,2855.0,2604.0,2712.0,2821.0,2688.0,2506.0,1971.0,1861.0,1418.0,1103.0,698.0,
20230108,일,원효대교,C-08,유입,원효대교남단->원효대교북단,347.0,293.0,222.0,156.0,140.0,189.0,307.0,433.0,761.0,977.0,1363.0,1248.0,1317.0,1329.0,1426.0,1312.0,1266.0,1092.0,828.0,710.0,752.0,647.0,460.0,338.0,
20230108,일,원효대교,C-08,유출,원효대교북단->원효대교남단,382.0,257.0,196.0,160.0,127.0,151.0,224.0,262.0,425.0,648.0,943.0,954.0,1129.0,1066.0,1216.0,1364.0,1334.0,1122.0,918.0,788.0,756.0,653.0,542.0,351.0,
20230108,일,한강대교,C-09,유입,한강대교남단->한강대교북단,1076.0,897.0,594.0,461.0,410.0,581.0,893.0,1053.0,1747.0,2137.0,2488.0,2768.0,2308.0,2457.0,2438.0,2236.0,1964.0,1936.0,1716.0,1565.0,1548.0,1470.0,1262.0,1015.0,
20230108,일,한강대교,C-09,유출,한강대교북단->한강대교남단,1338.0,1080.0,804.0,606.0,482.0,541.0,806.0,1000.0,1154.0,1391.0,1809.0,1729.0,1893.0,2189.0,2016.0,2505.0,2516.0,2474.0,2409.0,2228.0,2370.0,2134.0,1731.0,1274.0,
20230109,월,서강대교,C-06,유입,서강대교남단->서강대교북단,155.0,120.0,82.0,67.0,92.0,262.0,559.0,840.0,1097.0,1194.0,1016.0,978.0,862.0,917.0,960.0,871.0,1048.0,1484.0,1920.0,1071.0,730.0,620.0,466.0,299.0,
20230109,월,서강대교,C-06,유출,서강대교북단->서강대교남단,202.0,151.0,102.0,251.0,197.0,283.0,700.0,1832.0,2171.0,1418.0,1227.0,1138.0,1055.0,1198.0,1213.0,1354.0,1472.0,1405.0,1118.0,801.0,725.0,709.0,632.0,397.0,
