일자,traffic_total,target_total,weekday_num,요일
2023-09-28,140358.0,9023,3,목요일
2023-09-29,152890.0,9531,4,금요일
2023-09-30,125632.0,8652,5,토요일
2023-10-01,141665.0,9880,6,일요일
2023-10-02,147233.0,9178,0,월요일
2023-10-03,133071.0,7932,1,화요일
2023-10-04,202107.0,4467,2,수요일
2023-10-05,215401.0,5581,3,목요일
2023-10-06,218188.0,5455,4,금요일
2023-10-07,170709.0,3961,5,토요일
2023-10-08,161148.0,8832,6,일요일
2023-10-09,144777.0,6753,0,월요일
2023-10-10,206186.0,4981,1,화요일
2023-10-11,214803.0,5039,2,수요일
2023-10-12,220263.0,4933,3,목요일
2023-10-13,223765.0,5918,4,금요일
2023-10-14,188547.0,6502,5,토요일
2023-10-15,157844.0,9658,6,일요일
2023-10-16,207723.0,5010,0,월요일
2023-10-17,218179.0,4667,1,화요일
2023-10-18,216916.0,4772,2,수요일
2023-10-19,218291.0,4187,3,목요일
2023-10-20,231421.0,5046,4,금요일
2023-10-21,199902.0,8104,5,토요일
2023-10-22,162304.0,8295,6,일요일
2023-10-23,208344.0,4399,0,월요일
2023-10-24,211615.0,4460,1,화요일
2023-10-25,215548.0,4832,2,수요일
2023-10-26,217819.0,4469,3,목요일
2023-10-27,223462.0,5666,4,금요일
2023-10-28,196970.0,7330,5,토요일
2023-10-29,162965.0,7822,6,일요일
2023-10-30,208020.0,4411,0,월요일
2023-10-31,213869.0,4493,1,화요일
2023-11-01,211308.0,4363,2,수요일
2023-11-02,216007.0,4908,3,목요일
2023-11-03,219143.0,4617,4,금요일
2023-11-04,192111.0,7452,5,토요일
2023-11-05,151950.0,4712,6,일요일
2023-11-06,207489.0,3095,0,월요일
2023-11-07,215326.0,3706,1,화요일
2023-11-08,217067.0,3901,2,수요일
2023-11-09,218351.0,3758,3,목요일
2023-11-10,229550.0,4001,4,금요일
2023-11-11,192526.0,3889,5,토요일
2023-11-12,162713.0,3876,6,일요일
2023-11-13,209709.0,3372,0,월요일
2023-11-14,217338.0,3621,1,화요일
2023-11-15,216545.0,3748,2,수요일
2023-11-16,211944.0,3185,3,목요일
2023-11-17,184139.0,3541,4,금요일
2023-11-18,142931.0,3506,5,토요일
2023-11-19,122887.0,4476,6,일요일
2023-11-20,170616.0,3556,0,월요일
2023-11-21,217789.0,3883,1,화요일
2023-11-22,215216.0,3844,2,수요일
2023-11-23,219577.0,3506,3,목요일
2023-11-24,220417.0,3586,4,금요일
2023-11-25,181360.0,2665,5,토요일
2023-11-26,156188.0,4185,6,일요일
2023-11-27,206731.0,3069,0,월요일
2023-11-28,216502.0,3315,1,화요일
2023-11-29,214646.0,3279,2,수요일
2023-11-30,220167.0,3252,3,목요일
2023-12-01,222470.0,3441,4,금요일
2023-12-02,185675.0,3810,5,토요일
2023-12-03,154564.0,3767,6,일요일
2023-12-04,204589.0,3318,0,월요일
2023-12-05,214056.0,3537,1,화요일
2023-12-06,213656.0,3191,2,수요일
2023-12-07,216909.0,3423,3,목요일
2023-12-08,219264.0,4085,4,금요일
2023-12-09,181743.0,4348,5,토요일
2023-12-10,153510.0,5937,6,일요일
2023-12-11,204739.0,2865,0,월요일
2023-12-12,209809.0,3506,1,화요일
2023-12-13,214877.0,3676,2,수요일
2023-12-14,220710.0,3016,3,목요일
2023-12-15,222098.0,2951,4,금요일
2023-12-16,182674.0,1882,5,토요일
2023-12-17,149480.0,2725,6,일요일
2023-12-18,204880.0,2987,0,월요일
2023-12-19,214825.0,3169,1,화요일
2023-12-20,207085.0,2678,2,수요일
2023-12-21,216122.0,2901,3,목요일
2023-12-22,225251.0,3170,4,금요일
2023-12-23,183021.0,5211,5,토요일
2023-12-24,143777.0,4648,6,일요일
2023-12-25,127995.0,4235,0,월요일
2023-12-26,200938.0,3328,1,화요일
2023-12-27,210140.0,3368,2,수요일
2023-12-28,208688.0,3288,3,목요일
2023-12-29,205191.0,3784,4,금요일
2023-12-30,125996.0,2221,5,토요일
2023-12-31,131496.0,4562,6,일요일
